"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Drug/Alcohol Induced Causes"	"Drug/Alcohol Induced Causes Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	% of Total Deaths
	"Whiteside County, IL"	"17195"	"2015"	"2015"	"Drug-Induced Causes"	"D"	11	57079	Unreliable	9.6	34.5	Unreliable	9.4	36.2	0.0%
	"Whiteside County, IL"	"17195"	"2015"	"2015"	"All Other Causes"	"O"	634	57079	1110.7	1024.3	1197.2	736.7	677.1	796.3	0.0%
	"Will County, IL"	"17197"	"2015"	"2015"	"Drug-Induced Causes"	"D"	102	687263	14.8	12.0	17.7	15.4	12.4	18.4	0.0%
	"Will County, IL"	"17197"	"2015"	"2015"	"Alcohol-Induced Causes"	"A"	38	687263	5.5	3.9	7.6	4.9	3.5	6.8	0.0%
	"Will County, IL"	"17197"	"2015"	"2015"	"All Other Causes"	"O"	4192	687263	610.0	591.5	628.4	675.8	654.9	696.6	0.2%
	"Williamson County, IL"	"17199"	"2015"	"2015"	"All Other Causes"	"O"	725	67466	1074.6	996.4	1152.8	826.5	765.3	887.6	0.0%
	"Winnebago County, IL"	"17201"	"2015"	"2015"	"Drug-Induced Causes"	"D"	99	287078	34.5	28.0	42.0	35.4	28.6	43.3	0.0%
	"Winnebago County, IL"	"17201"	"2015"	"2015"	"Alcohol-Induced Causes"	"A"	34	287078	11.8	8.2	16.6	10.5	7.2	14.8	0.0%
	"Winnebago County, IL"	"17201"	"2015"	"2015"	"All Other Causes"	"O"	2869	287078	999.4	962.8	1035.9	801.7	771.8	831.6	0.1%
	"Woodford County, IL"	"17203"	"2015"	"2015"	"All Other Causes"	"O"	406	39227	1035.0	934.3	1135.7	737.0	662.3	811.7	0.0%
	"Adams County, IN"	"18001"	"2015"	"2015"	"All Other Causes"	"O"	303	34980	866.2	768.7	963.7	713.8	631.0	796.5	0.0%
	"Allen County, IN"	"18003"	"2015"	"2015"	"Drug-Induced Causes"	"D"	63	368450	17.1	13.1	21.9	17.8	13.6	22.9	0.0%
	"Allen County, IN"	"18003"	"2015"	"2015"	"Alcohol-Induced Causes"	"A"	39	368450	10.6	7.5	14.5	10.3	7.2	14.1	0.0%
	"Allen County, IN"	"18003"	"2015"	"2015"	"All Other Causes"	"O"	3063	368450	831.3	801.9	860.8	765.8	738.1	793.4	0.1%
	"Bartholomew County, IN"	"18005"	"2015"	"2015"	"All Other Causes"	"O"	741	81162	913.0	847.3	978.7	787.8	730.4	845.2	0.0%
	"Benton County, IN"	"18007"	"2015"	"2015"	"All Other Causes"	"O"	95	8681	1094.3	885.4	1337.8	868.7	700.3	1065.4	0.0%
	"Blackford County, IN"	"18009"	"2015"	"2015"	"All Other Causes"	"O"	161	12298	1309.2	1106.9	1511.4	920.1	773.7	1066.6	0.0%
	"Boone County, IN"	"18011"	"2015"	"2015"	"Drug-Induced Causes"	"D"	11	63344	Unreliable	8.7	31.1	Unreliable	8.5	30.4	0.0%
	"Boone County, IN"	"18011"	"2015"	"2015"	"All Other Causes"	"O"	515	63344	813.0	742.8	883.2	781.4	712.9	849.8	0.0%
	"Brown County, IN"	"18013"	"2015"	"2015"	"All Other Causes"	"O"	160	14977	1068.3	902.8	1233.8	766.1	640.6	891.6	0.0%
	"Carroll County, IN"	"18015"	"2015"	"2015"	"All Other Causes"	"O"	180	19856	906.5	774.1	1039.0	667.0	566.7	767.2	0.0%
	"Cass County, IN"	"18017"	"2015"	"2015"	"All Other Causes"	"O"	410	37979	1079.5	975.0	1184.0	825.8	744.1	907.5	0.0%
	"Clark County, IN"	"18019"	"2015"	"2015"	"Drug-Induced Causes"	"D"	37	115371	32.1	22.6	44.2	32.5	22.8	45.0	0.0%
	"Clark County, IN"	"18019"	"2015"	"2015"	"Alcohol-Induced Causes"	"A"	12	115371	Unreliable	5.4	18.2	Unreliable	5.0	16.8	0.0%
	"Clark County, IN"	"18019"	"2015"	"2015"	"All Other Causes"	"O"	1234	115371	1069.6	1009.9	1129.3	975.8	920.5	1031.2	0.0%
	"Clay County, IN"	"18021"	"2015"	"2015"	"All Other Causes"	"O"	325	26503	1226.3	1093.0	1359.6	964.4	857.8	1071.1	0.0%
	"Clinton County, IN"	"18023"	"2015"	"2015"	"All Other Causes"	"O"	403	32609	1235.9	1115.2	1356.5	935.6	842.2	1029.0	0.0%
	"Crawford County, IN"	"18025"	"2015"	"2015"	"All Other Causes"	"O"	117	10483	1116.1	913.9	1318.3	896.2	727.9	1064.6	0.0%
	"Daviess County, IN"	"18027"	"2015"	"2015"	"All Other Causes"	"O"	322	32906	978.5	871.7	1085.4	845.6	751.7	939.6	0.0%
	"Dearborn County, IN"	"18029"	"2015"	"2015"	"Drug-Induced Causes"	"D"	18	49455	Unreliable	21.6	57.5	Unreliable	24.8	68.1	0.0%
	"Dearborn County, IN"	"18029"	"2015"	"2015"	"All Other Causes"	"O"	471	49455	952.4	866.4	1038.4	816.2	741.2	891.2	0.0%
	"Decatur County, IN"	"18031"	"2015"	"2015"	"All Other Causes"	"O"	260	26521	980.4	861.2	1099.5	788.4	691.4	885.3	0.0%
	"De Kalb County, IN"	"18033"	"2015"	"2015"	"Alcohol-Induced Causes"	"A"	10	42589	Unreliable	11.3	43.2	Unreliable	8.9	37.1	0.0%
	"De Kalb County, IN"	"18033"	"2015"	"2015"	"All Other Causes"	"O"	393	42589	922.8	831.5	1014.0	792.9	713.1	872.6	0.0%
	"Delaware County, IN"	"18035"	"2015"	"2015"	"Drug-Induced Causes"	"D"	35	116852	30.0	20.9	41.7	37.5	25.8	52.6	0.0%
	"Delaware County, IN"	"18035"	"2015"	"2015"	"Alcohol-Induced Causes"	"A"	14	116852	Unreliable	6.6	20.1	Unreliable	6.3	20.1	0.0%
	"Delaware County, IN"	"18035"	"2015"	"2015"	"All Other Causes"	"O"	1141	116852	976.4	919.8	1033.1	791.2	744.2	838.2	0.0%
	"Dubois County, IN"	"18037"	"2015"	"2015"	"All Other Causes"	"O"	404	42461	951.5	858.7	1044.2	732.4	659.3	805.4	0.0%
	"Elkhart County, IN"	"18039"	"2015"	"2015"	"Drug-Induced Causes"	"D"	23	203474	11.3	7.2	17.0	12.0	7.5	18.2	0.0%
	"Elkhart County, IN"	"18039"	"2015"	"2015"	"Alcohol-Induced Causes"	"A"	25	203474	12.3	8.0	18.1	11.9	7.6	17.6	0.0%
	"Elkhart County, IN"	"18039"	"2015"	"2015"	"All Other Causes"	"O"	1629	203474	800.6	761.7	839.5	737.0	700.7	773.2	0.1%
	"Fayette County, IN"	"18041"	"2015"	"2015"	"Drug-Induced Causes"	"D"	14	23434	Unreliable	32.7	100.2	Unreliable	35.3	113.4	0.0%
	"Fayette County, IN"	"18041"	"2015"	"2015"	"All Other Causes"	"O"	311	23434	1327.1	1179.6	1474.6	995.7	881.1	1110.4	0.0%
	"Floyd County, IN"	"18043"	"2015"	"2015"	"Drug-Induced Causes"	"D"	19	76778	Unreliable	14.9	38.6	Unreliable	15.7	42.0	0.0%
	"Floyd County, IN"	"18043"	"2015"	"2015"	"All Other Causes"	"O"	727	76778	946.9	878.1	1015.7	805.3	745.7	864.9	0.0%
	"Fountain County, IN"	"18045"	"2015"	"2015"	"All Other Causes"	"O"	215	16591	1295.9	1122.7	1469.1	879.6	759.6	999.7	0.0%
	"Franklin County, IN"	"18047"	"2015"	"2015"	"All Other Causes"	"O"	210	22872	918.2	794.0	1042.3	754.1	650.4	857.7	0.0%
	"Fulton County, IN"	"18049"	"2015"	"2015"	"All Other Causes"	"O"	246	20315	1210.9	1059.6	1362.3	930.8	812.2	1049.4	0.0%
	"Gibson County, IN"	"18051"	"2015"	"2015"	"All Other Causes"	"O"	340	33775	1006.7	899.7	1113.7	795.8	709.3	882.3	0.0%
	"Grant County, IN"	"18053"	"2015"	"2015"	"Drug-Induced Causes"	"D"	30	67979	44.1	29.8	63.0	51.4	34.1	74.2	0.0%
	"Grant County, IN"	"18053"	"2015"	"2015"	"All Other Causes"	"O"	829	67979	1219.5	1136.5	1302.5	919.9	855.3	984.5	0.0%
	"Greene County, IN"	"18055"	"2015"	"2015"	"All Other Causes"	"O"	345	32441	1063.5	951.2	1175.7	781.6	697.4	865.8	0.0%
	"Hamilton County, IN"	"18057"	"2015"	"2015"	"Drug-Induced Causes"	"D"	35	309697	11.3	7.9	15.7	12.1	8.4	16.9	0.0%
	"Hamilton County, IN"	"18057"	"2015"	"2015"	"Alcohol-Induced Causes"	"A"	17	309697	Unreliable	3.2	8.8	Unreliable	3.0	8.5	0.0%
	"Hamilton County, IN"	"18057"	"2015"	"2015"	"All Other Causes"	"O"	1482	309697	478.5	454.2	502.9	562.8	533.5	592.1	0.1%
	"Hancock County, IN"	"18059"	"2015"	"2015"	"Drug-Induced Causes"	"D"	21	72520	29.0	17.9	44.3	28.0	17.1	43.2	0.0%
	"Hancock County, IN"	"18059"	"2015"	"2015"	"All Other Causes"	"O"	642	72520	885.3	816.8	953.8	787.5	725.6	849.3	0.0%
	"Harrison County, IN"	"18061"	"2015"	"2015"	"All Other Causes"	"O"	378	39578	955.1	858.8	1051.4	815.1	731.4	898.9	0.0%
	"Hendricks County, IN"	"18063"	"2015"	"2015"	"Drug-Induced Causes"	"D"	13	158192	Unreliable	4.4	14.1	Unreliable	4.7	15.0	0.0%
	"Hendricks County, IN"	"18063"	"2015"	"2015"	"Alcohol-Induced Causes"	"A"	10	158192	Unreliable	3.0	11.6	Unreliable	2.6	9.9	0.0%
	"Hendricks County, IN"	"18063"	"2015"	"2015"	"All Other Causes"	"O"	1094	158192	691.6	650.6	732.5	708.6	666.1	751.2	0.0%
	"Henry County, IN"	"18065"	"2015"	"2015"	"All Other Causes"	"O"	587	48985	1198.3	1101.4	1295.3	888.0	814.8	961.3	0.0%
	"Howard County, IN"	"18067"	"2015"	"2015"	"Drug-Induced Causes"	"D"	31	82556	37.6	25.5	53.3	37.2	24.9	53.4	0.0%
	"Howard County, IN"	"18067"	"2015"	"2015"	"Alcohol-Induced Causes"	"A"	15	82556	Unreliable	10.2	30.0	Unreliable	9.5	29.0	0.0%
	"Howard County, IN"	"18067"	"2015"	"2015"	"All Other Causes"	"O"	1006	82556	1218.6	1143.3	1293.9	890.5	834.3	946.8	0.0%
	"Huntington County, IN"	"18069"	"2015"	"2015"	"All Other Causes"	"O"	396	36630	1081.1	974.6	1187.6	817.7	735.6	899.8	0.0%
	"Jackson County, IN"	"18071"	"2015"	"2015"	"Drug-Induced Causes"	"D"	12	44069	Unreliable	14.1	47.6	Unreliable	14.9	50.3	0.0%
	"Jackson County, IN"	"18071"	"2015"	"2015"	"All Other Causes"	"O"	471	44069	1068.8	972.3	1165.3	902.0	819.8	984.2	0.0%
	"Jasper County, IN"	"18073"	"2015"	"2015"	"All Other Causes"	"O"	318	33470	950.1	845.7	1054.5	805.1	715.2	895.0	0.0%
	"Jay County, IN"	"18075"	"2015"	"2015"	"All Other Causes"	"O"	229	21121	1084.2	943.8	1224.7	866.0	752.0	980.1	0.0%
	"Jefferson County, IN"	"18077"	"2015"	"2015"	"All Other Causes"	"O"	373	32416	1150.7	1033.9	1267.4	953.3	854.6	1052.0	0.0%
	"Jennings County, IN"	"18079"	"2015"	"2015"	"All Other Causes"	"O"	289	27897	1036.0	916.5	1155.4	992.9	875.2	1110.5	0.0%
	"Johnson County, IN"	"18081"	"2015"	"2015"	"Drug-Induced Causes"	"D"	24	149633	16.0	10.3	23.9	16.7	10.7	24.9	0.0%
	"Johnson County, IN"	"18081"	"2015"	"2015"	"Alcohol-Induced Causes"	"A"	14	149633	Unreliable	5.1	15.7	Unreliable	4.7	14.3	0.0%
	"Johnson County, IN"	"18081"	"2015"	"2015"	"All Other Causes"	"O"	1303	149633	870.8	823.5	918.1	805.7	761.5	849.9	0.0%
	"Knox County, IN"	"18083"	"2015"	"2015"	"All Other Causes"	"O"	470	37927	1239.2	1127.2	1351.3	956.8	868.4	1045.1	0.0%
	"Kosciusko County, IN"	"18085"	"2015"	"2015"	"All Other Causes"	"O"	728	78620	926.0	858.7	993.2	803.0	743.9	862.1	0.0%
	"Lagrange County, IN"	"18087"	"2015"	"2015"	"All Other Causes"	"O"	274	38809	706.0	622.4	789.6	748.7	658.9	838.5	0.0%
	"Lake County, IN"	"18089"	"2015"	"2015"	"Drug-Induced Causes"	"D"	90	487865	18.4	14.8	22.7	20.0	16.0	24.6	0.0%
	"Lake County, IN"	"18089"	"2015"	"2015"	"Alcohol-Induced Causes"	"A"	49	487865	10.0	7.4	13.3	9.0	6.6	12.0	0.0%
	"Lake County, IN"	"18089"	"2015"	"2015"	"All Other Causes"	"O"	4725	487865	968.5	940.9	996.1	815.0	791.3	838.6	0.2%
	"La Porte County, IN"	"18091"	"2015"	"2015"	"Drug-Induced Causes"	"D"	18	110884	Unreliable	9.6	25.7	Unreliable	9.5	25.5	0.0%
	"La Porte County, IN"	"18091"	"2015"	"2015"	"Alcohol-Induced Causes"	"A"	21	110884	18.9	11.7	28.9	16.6	10.0	25.9	0.0%
	"La Porte County, IN"	"18091"	"2015"	"2015"	"All Other Causes"	"O"	1195	110884	1077.7	1016.6	1138.8	877.0	826.4	927.6	0.0%
	"Lawrence County, IN"	"18093"	"2015"	"2015"	"All Other Causes"	"O"	526	45495	1156.2	1057.4	1255.0	845.3	771.2	919.5	0.0%
	"Madison County, IN"	"18095"	"2015"	"2015"	"Drug-Induced Causes"	"D"	35	129723	27.0	18.8	37.5	28.9	20.0	40.4	0.0%
	"Madison County, IN"	"18095"	"2015"	"2015"	"Alcohol-Induced Causes"	"A"	29	129723	22.4	15.0	32.1	20.3	13.4	29.6	0.0%
	"Madison County, IN"	"18095"	"2015"	"2015"	"All Other Causes"	"O"	1441	129723	1110.8	1053.5	1168.2	856.1	811.2	900.9	0.1%
	"Marion County, IN"	"18097"	"2015"	"2015"	"Drug-Induced Causes"	"D"	257	939020	27.4	24.0	30.7	27.2	23.8	30.6	0.0%
	"Marion County, IN"	"18097"	"2015"	"2015"	"Alcohol-Induced Causes"	"A"	137	939020	14.6	12.1	17.0	14.1	11.7	16.5	0.0%
	"Marion County, IN"	"18097"	"2015"	"2015"	"All Other Causes"	"O"	7610	939020	810.4	792.2	828.6	840.2	820.9	859.5	0.3%
	"Marshall County, IN"	"18099"	"2015"	"2015"	"All Other Causes"	"O"	437	46857	932.6	845.2	1020.1	708.2	640.3	776.1	0.0%
	"Martin County, IN"	"18101"	"2015"	"2015"	"All Other Causes"	"O"	102	10226	997.5	803.9	1191.0	779.2	624.9	933.4	0.0%
	"Miami County, IN"	"18103"	"2015"	"2015"	"All Other Causes"	"O"	402	35862	1121.0	1011.4	1230.5	904.7	814.9	994.6	0.0%
	"Monroe County, IN"	"18105"	"2015"	"2015"	"Drug-Induced Causes"	"D"	19	144705	Unreliable	7.9	20.5	Unreliable	9.9	26.4	0.0%
	"Monroe County, IN"	"18105"	"2015"	"2015"	"Alcohol-Induced Causes"	"A"	11	144705	Unreliable	3.8	13.6	Unreliable	4.6	16.4	0.0%
	"Monroe County, IN"	"18105"	"2015"	"2015"	"All Other Causes"	"O"	922	144705	637.2	596.0	678.3	686.7	641.6	731.9	0.0%
	"Montgomery County, IN"	"18107"	"2015"	"2015"	"All Other Causes"	"O"	384	38227	1004.5	904.1	1105.0	760.3	683.2	837.4	0.0%
	"Morgan County, IN"	"18109"	"2015"	"2015"	"Drug-Induced Causes"	"D"	20	69648	28.7	17.5	44.3	29.9	18.0	46.7	0.0%
	"Morgan County, IN"	"18109"	"2015"	"2015"	"All Other Causes"	"O"	662	69648	950.5	878.1	1022.9	851.9	785.5	918.4	0.0%
	"Newton County, IN"	"18111"	"2015"	"2015"	"All Other Causes"	"O"	141	14008	1006.6	840.4	1172.7	723.9	602.1	845.7	0.0%
	"Noble County, IN"	"18113"	"2015"	"2015"	"All Other Causes"	"O"	409	47733	856.8	773.8	939.9	742.4	668.7	816.2	0.0%
	"Ohio County, IN"	"18115"	"2015"	"2015"	"All Other Causes"	"O"	61	5938	1027.3	785.8	1319.6	726.5	550.2	941.2	0.0%
	"Orange County, IN"	"18117"	"2015"	"2015"	"All Other Causes"	"O"	248	19605	1265.0	1107.5	1422.4	999.9	872.8	1127.0	0.0%
	"Owen County, IN"	"18119"	"2015"	"2015"	"All Other Causes"	"O"	227	20872	1087.6	946.1	1229.1	922.7	796.8	1048.6	0.0%
	"Parke County, IN"	"18121"	"2015"	"2015"	"All Other Causes"	"O"	137	16901	810.6	674.9	946.3	641.3	531.8	750.8	0.0%
	"Perry County, IN"	"18123"	"2015"	"2015"	"All Other Causes"	"O"	192	19347	992.4	852.0	1132.8	725.0	620.1	829.8	0.0%
	"Pike County, IN"	"18125"	"2015"	"2015"	"All Other Causes"	"O"	178	12594	1413.4	1205.7	1621.0	1039.3	881.4	1197.2	0.0%
	"Porter County, IN"	"18127"	"2015"	"2015"	"Drug-Induced Causes"	"D"	38	167688	22.7	16.0	31.1	21.8	15.2	30.1	0.0%
	"Porter County, IN"	"18127"	"2015"	"2015"	"Alcohol-Induced Causes"	"A"	17	167688	Unreliable	5.9	16.2	Unreliable	4.6	12.9	0.0%
	"Porter County, IN"	"18127"	"2015"	"2015"	"All Other Causes"	"O"	1427	167688	851.0	806.8	895.1	751.2	711.4	790.9	0.1%
	"Posey County, IN"	"18129"	"2015"	"2015"	"All Other Causes"	"O"	262	25512	1027.0	902.6	1151.3	830.9	728.1	933.7	0.0%
	"Pulaski County, IN"	"18131"	"2015"	"2015"	"All Other Causes"	"O"	157	12889	1218.1	1027.6	1408.6	902.3	758.0	1046.7	0.0%
	"Putnam County, IN"	"18133"	"2015"	"2015"	"All Other Causes"	"O"	350	37585	931.2	833.7	1028.8	782.2	699.3	865.0	0.0%
	"Randolph County, IN"	"18135"	"2015"	"2015"	"All Other Causes"	"O"	275	25172	1092.5	963.4	1221.6	770.5	676.7	864.4	0.0%
	"Ripley County, IN"	"18137"	"2015"	"2015"	"Drug-Induced Causes"	"D"	10	28701	Unreliable	16.7	64.1	Unreliable	17.9	68.8	0.0%
	"Ripley County, IN"	"18137"	"2015"	"2015"	"All Other Causes"	"O"	281	28701	979.1	864.6	1093.5	760.8	670.1	851.5	0.0%
	"Rush County, IN"	"18139"	"2015"	"2015"	"All Other Causes"	"O"	199	16672	1193.6	1027.8	1359.5	877.3	752.7	1002.0	0.0%
	"St. Joseph County, IN"	"18141"	"2015"	"2015"	"Drug-Induced Causes"	"D"	57	268441	21.2	16.1	27.5	22.7	17.1	29.6	0.0%
	"St. Joseph County, IN"	"18141"	"2015"	"2015"	"Alcohol-Induced Causes"	"A"	48	268441	17.9	13.2	23.7	16.1	11.7	21.5	0.0%
	"St. Joseph County, IN"	"18141"	"2015"	"2015"	"All Other Causes"	"O"	2573	268441	958.5	921.5	995.5	794.6	763.1	826.2	0.1%
	"Scott County, IN"	"18143"	"2015"	"2015"	"All Other Causes"	"O"	280	23744	1179.2	1041.1	1317.4	1017.8	895.8	1139.8	0.0%
	"Shelby County, IN"	"18145"	"2015"	"2015"	"All Other Causes"	"O"	424	44478	953.3	862.5	1044.0	788.8	712.2	865.3	0.0%
	"Spencer County, IN"	"18147"	"2015"	"2015"	"All Other Causes"	"O"	184	20715	888.2	759.9	1016.6	670.5	571.1	769.8	0.0%
	"Starke County, IN"	"18149"	"2015"	"2015"	"All Other Causes"	"O"	267	22958	1163.0	1023.5	1302.5	961.2	842.4	1080.0	0.0%
	"Steuben County, IN"	"18151"	"2015"	"2015"	"All Other Causes"	"O"	321	34372	933.9	831.7	1036.1	748.9	664.7	833.0	0.0%
	"Sullivan County, IN"	"18153"	"2015"	"2015"	"All Other Causes"	"O"	259	20928	1237.6	1086.9	1388.3	982.8	861.3	1104.3	0.0%
	"Switzerland County, IN"	"18155"	"2015"	"2015"	"All Other Causes"	"O"	110	10524	1045.2	849.9	1240.6	905.1	732.2	1078.0	0.0%
	"Tippecanoe County, IN"	"18157"	"2015"	"2015"	"Drug-Induced Causes"	"D"	34	185826	18.3	12.7	25.6	19.3	13.1	27.4	0.0%
	"Tippecanoe County, IN"	"18157"	"2015"	"2015"	"All Other Causes"	"O"	1143	185826	615.1	579.4	650.8	714.3	672.2	756.5	0.0%
	"Tipton County, IN"	"18159"	"2015"	"2015"	"All Other Causes"	"O"	158	15267	1034.9	873.5	1196.3	677.6	568.9	786.3	0.0%
	"Union County, IN"	"18161"	"2015"	"2015"	"All Other Causes"	"O"	63	7182	877.2	674.1	1122.3	659.2	503.1	848.6	0.0%
	"Vanderburgh County, IN"	"18163"	"2015"	"2015"	"Drug-Induced Causes"	"D"	44	181877	24.2	17.6	32.5	23.8	17.1	32.2	0.0%
	"Vanderburgh County, IN"	"18163"	"2015"	"2015"	"Alcohol-Induced Causes"	"A"	40	181877	22.0	15.7	29.9	19.3	13.6	26.6	0.0%
	"Vanderburgh County, IN"	"18163"	"2015"	"2015"	"All Other Causes"	"O"	1949	181877	1071.6	1024.0	1119.2	844.2	805.9	882.5	0.1%
	"Vermillion County, IN"	"18165"	"2015"	"2015"	"All Other Causes"	"O"	221	15692	1408.4	1222.7	1594.0	1015.8	877.6	1154.0	0.0%
	"Vigo County, IN"	"18167"	"2015"	"2015"	"Drug-Induced Causes"	"D"	16	107896	Unreliable	8.5	24.1	Unreliable	9.1	26.9	0.0%
	"Vigo County, IN"	"18167"	"2015"	"2015"	"All Other Causes"	"O"	1134	107896	1051.0	989.8	1112.2	903.3	849.6	956.9	0.0%
	"Wabash County, IN"	"18169"	"2015"	"2015"	"All Other Causes"	"O"	408	32138	1269.5	1146.3	1392.7	819.7	736.4	903.0	0.0%
	"Warren County, IN"	"18171"	"2015"	"2015"	"All Other Causes"	"O"	83	8269	1003.7	799.5	1244.3	668.2	531.5	829.5	0.0%
	"Warrick County, IN"	"18173"	"2015"	"2015"	"All Other Causes"	"O"	542	61897	875.6	801.9	949.4	713.4	652.0	774.7	0.0%
	"Washington County, IN"	"18175"	"2015"	"2015"	"All Other Causes"	"O"	329	27827	1182.3	1054.5	1310.1	1018.2	906.3	1130.1	0.0%
	"Wayne County, IN"	"18177"	"2015"	"2015"	"Drug-Induced Causes"	"D"	31	67001	46.3	31.4	65.7	45.7	30.6	65.6	0.0%
	"Wayne County, IN"	"18177"	"2015"	"2015"	"All Other Causes"	"O"	849	67001	1267.1	1181.9	1352.4	896.0	834.2	957.8	0.0%
	"Wells County, IN"	"18179"	"2015"	"2015"	"All Other Causes"	"O"	296	27964	1058.5	937.9	1179.1	757.7	669.1	846.3	0.0%
	"White County, IN"	"18181"	"2015"	"2015"	"All Other Causes"	"O"	289	24293	1189.6	1052.5	1326.8	807.7	711.9	903.5	0.0%
	"Whitley County, IN"	"18183"	"2015"	"2015"	"All Other Causes"	"O"	292	33406	874.1	773.8	974.4	688.0	607.1	769.0	0.0%
	"Adair County, IA"	"19001"	"2015"	"2015"	"All Other Causes"	"O"	117	7228	1618.7	1325.4	1912.0	817.0	654.5	979.4	0.0%
	"Adams County, IA"	"19003"	"2015"	"2015"	"All Other Causes"	"O"	52	3796	1369.9	1023.1	1796.4	813.4	591.0	1091.9	0.0%
	"Allamakee County, IA"	"19005"	"2015"	"2015"	"All Other Causes"	"O"	185	13886	1332.3	1140.3	1524.3	794.9	675.4	914.5	0.0%
	"Appanoose County, IA"	"19007"	"2015"	"2015"	"All Other Causes"	"O"	200	12529	1596.3	1375.1	1817.5	1012.1	863.2	1160.9	0.0%
	"Audubon County, IA"	"19009"	"2015"	"2015"	"All Other Causes"	"O"	75	5773	1299.2	1021.9	1628.5	687.5	520.7	890.7	0.0%
	"Benton County, IA"	"19011"	"2015"	"2015"	"All Other Causes"	"O"	233	25658	908.1	791.5	1024.7	671.5	582.7	760.4	0.0%
	"Black Hawk County, IA"	"19013"	"2015"	"2015"	"Alcohol-Induced Causes"	"A"	21	133455	15.7	9.7	24.1	14.2	8.7	22.0	0.0%
	"Black Hawk County, IA"	"19013"	"2015"	"2015"	"All Other Causes"	"O"	1105	133455	828.0	779.2	876.8	674.0	633.1	714.9	0.0%
	"Boone County, IA"	"19015"	"2015"	"2015"	"All Other Causes"	"O"	285	26643	1069.7	945.5	1193.9	734.2	646.5	821.8	0.0%
	"Bremer County, IA"	"19017"	"2015"	"2015"	"All Other Causes"	"O"	234	24722	946.5	825.2	1067.8	593.2	514.6	671.7	0.0%
	"Buchanan County, IA"	"19019"	"2015"	"2015"	"All Other Causes"	"O"	186	21062	883.1	756.2	1010.0	669.7	571.6	767.9	0.0%
	"Buena Vista County, IA"	"19021"	"2015"	"2015"	"All Other Causes"	"O"	189	20493	922.3	790.8	1053.8	672.8	570.7	774.9	0.0%
	"Butler County, IA"	"19023"	"2015"	"2015"	"All Other Causes"	"O"	175	14915	1173.3	999.5	1347.2	682.6	574.7	790.5	0.0%
	"Calhoun County, IA"	"19025"	"2015"	"2015"	"All Other Causes"	"O"	147	9818	1497.2	1255.2	1739.3	764.9	633.1	896.7	0.0%
	"Carroll County, IA"	"19027"	"2015"	"2015"	"All Other Causes"	"O"	257	20498	1253.8	1100.5	1407.1	711.6	618.8	804.3	0.0%
	"Cass County, IA"	"19029"	"2015"	"2015"	"All Other Causes"	"O"	204	13427	1519.3	1310.8	1727.8	877.4	748.3	1006.5	0.0%
	"Cedar County, IA"	"19031"	"2015"	"2015"	"All Other Causes"	"O"	176	18340	959.7	817.9	1101.4	595.4	503.8	686.9	0.0%
	"Cerro Gordo County, IA"	"19033"	"2015"	"2015"	"Alcohol-Induced Causes"	"A"	10	43017	Unreliable	11.1	42.8	Unreliable	8.9	37.0	0.0%
	"Cerro Gordo County, IA"	"19033"	"2015"	"2015"	"All Other Causes"	"O"	492	43017	1143.7	1042.7	1244.8	713.1	646.7	779.4	0.0%
	"Cherokee County, IA"	"19035"	"2015"	"2015"	"All Other Causes"	"O"	167	11574	1442.9	1224.0	1661.7	756.8	629.9	883.8	0.0%
	"Chickasaw County, IA"	"19037"	"2015"	"2015"	"All Other Causes"	"O"	127	12097	1049.8	867.3	1232.4	659.6	541.7	777.6	0.0%
	"Clarke County, IA"	"19039"	"2015"	"2015"	"All Other Causes"	"O"	102	9259	1101.6	887.8	1315.4	756.5	604.8	908.3	0.0%
	"Clay County, IA"	"19041"	"2015"	"2015"	"All Other Causes"	"O"	209	16507	1266.1	1094.5	1437.8	738.5	631.6	845.4	0.0%
	"Clayton County, IA"	"19043"	"2015"	"2015"	"All Other Causes"	"O"	198	17644	1122.2	965.9	1278.5	623.2	532.1	714.3	0.0%
	"Clinton County, IA"	"19045"	"2015"	"2015"	"All Other Causes"	"O"	555	47768	1161.9	1065.2	1258.5	787.4	720.0	854.8	0.0%
	"Crawford County, IA"	"19047"	"2015"	"2015"	"All Other Causes"	"O"	179	17094	1047.2	893.7	1200.6	733.0	621.6	844.4	0.0%
	"Dallas County, IA"	"19049"	"2015"	"2015"	"All Other Causes"	"O"	415	80133	517.9	468.1	567.7	563.7	508.8	618.7	0.0%
	"Davis County, IA"	"19051"	"2015"	"2015"	"All Other Causes"	"O"	93	8769	1060.6	856.0	1299.3	765.3	615.4	940.7	0.0%
	"Decatur County, IA"	"19053"	"2015"	"2015"	"All Other Causes"	"O"	78	8220	948.9	750.1	1184.3	658.7	515.4	829.6	0.0%
	"Delaware County, IA"	"19055"	"2015"	"2015"	"All Other Causes"	"O"	168	17403	965.4	819.4	1111.3	625.7	528.8	722.5	0.0%
	"Des Moines County, IA"	"19057"	"2015"	"2015"	"All Other Causes"	"O"	436	40055	1088.5	986.3	1190.7	701.2	633.2	769.3	0.0%
