"Notes"	"Injury Mechanism & All Other Leading Causes"	"Injury Mechanism & All Other Leading Causes Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Other specified, classifiable Injury"	"GRINJ-018"	"2010"	"2010"	1958	308745538	0.6	0.6
	"Other specified, classifiable Injury"	"GRINJ-018"	"2011"	"2011"	2101	311591917	0.7	0.7
	"Other specified, classifiable Injury"	"GRINJ-018"	"2012"	"2012"	2044	313914040	0.7	0.6
	"Other specified, classifiable Injury"	"GRINJ-018"	"2013"	"2013"	2060	316128839	0.7	0.6
	"Other specified, classifiable Injury"	"GRINJ-018"	"2014"	"2014"	2062	318857056	0.6	0.6
	"Other specified, classifiable Injury"	"GRINJ-018"	"2015"	"2015"	2074	321418820	0.6	0.6
	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	"1999"	"1999"	2222	279040168	0.8	0.8
	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	"2000"	"2000"	2254	281421906	0.8	0.8
	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	"2001"	"2001"	2292	284968955	0.8	0.8
	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	"2002"	"2002"	2051	287625193	0.7	0.7
	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	"2003"	"2003"	1995	290107933	0.7	0.7
	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	"2004"	"2004"	1922	292805298	0.7	0.7
	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	"2005"	"2005"	2001	295516599	0.7	0.7
	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	"2006"	"2006"	2105	298379912	0.7	0.7
	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	"2007"	"2007"	2150	301231207	0.7	0.7
	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	"2008"	"2008"	2148	304093966	0.7	0.7
	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	"2009"	"2009"	2021	306771529	0.7	0.6
	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	"2010"	"2010"	1956	308745538	0.6	0.6
	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	"2011"	"2011"	1955	311591917	0.6	0.6
	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	"2012"	"2012"	1998	313914040	0.6	0.6
	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	"2013"	"2013"	1974	316128839	0.6	0.6
	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	"2014"	"2014"	1876	318857056	0.6	0.5
	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	"2015"	"2015"	1850	321418820	0.6	0.5
	"Unspecified Injury"	"GRINJ-020"	"1999"	"1999"	9256	279040168	3.3	3.4
	"Unspecified Injury"	"GRINJ-020"	"2000"	"2000"	8583	281421906	3.0	3.1
	"Unspecified Injury"	"GRINJ-020"	"2001"	"2001"	9160	284968955	3.2	3.2
	"Unspecified Injury"	"GRINJ-020"	"2002"	"2002"	8653	287625193	3.0	3.0
	"Unspecified Injury"	"GRINJ-020"	"2003"	"2003"	8838	290107933	3.0	3.0
	"Unspecified Injury"	"GRINJ-020"	"2004"	"2004"	8450	292805298	2.9	2.9
	"Unspecified Injury"	"GRINJ-020"	"2005"	"2005"	8892	295516599	3.0	3.0
	"Unspecified Injury"	"GRINJ-020"	"2006"	"2006"	8759	298379912	2.9	2.9
	"Unspecified Injury"	"GRINJ-020"	"2007"	"2007"	8563	301231207	2.8	2.8
	"Unspecified Injury"	"GRINJ-020"	"2008"	"2008"	8405	304093966	2.8	2.7
	"Unspecified Injury"	"GRINJ-020"	"2009"	"2009"	7568	306771529	2.5	2.4
	"Unspecified Injury"	"GRINJ-020"	"2010"	"2010"	8224	308745538	2.7	2.5
	"Unspecified Injury"	"GRINJ-020"	"2011"	"2011"	8491	311591917	2.7	2.5
	"Unspecified Injury"	"GRINJ-020"	"2012"	"2012"	8354	313914040	2.7	2.5
	"Unspecified Injury"	"GRINJ-020"	"2013"	"2013"	7774	316128839	2.5	2.3
	"Unspecified Injury"	"GRINJ-020"	"2014"	"2014"	8036	318857056	2.5	2.3
	"Unspecified Injury"	"GRINJ-020"	"2015"	"2015"	9250	321418820	2.9	2.6
	"Non-Injury: Malignant neoplasms (Cancers)"	"GR113 020-043"	"1999"	"1999"	549838	279040168	197.0	200.8
	"Non-Injury: Malignant neoplasms (Cancers)"	"GR113 020-043"	"2000"	"2000"	553091	281421906	196.5	199.6
	"Non-Injury: Malignant neoplasms (Cancers)"	"GR113 020-043"	"2001"	"2001"	553768	284968955	194.3	196.5
	"Non-Injury: Malignant neoplasms (Cancers)"	"GR113 020-043"	"2002"	"2002"	557271	287625193	193.7	194.4
	"Non-Injury: Malignant neoplasms (Cancers)"	"GR113 020-043"	"2003"	"2003"	556902	290107933	192.0	190.9
	"Non-Injury: Malignant neoplasms (Cancers)"	"GR113 020-043"	"2004"	"2004"	553888	292805298	189.2	186.8
	"Non-Injury: Malignant neoplasms (Cancers)"	"GR113 020-043"	"2005"	"2005"	559312	295516599	189.3	185.1
	"Non-Injury: Malignant neoplasms (Cancers)"	"GR113 020-043"	"2006"	"2006"	559888	298379912	187.6	181.8
	"Non-Injury: Malignant neoplasms (Cancers)"	"GR113 020-043"	"2007"	"2007"	562875	301231207	186.9	179.3
	"Non-Injury: Malignant neoplasms (Cancers)"	"GR113 020-043"	"2008"	"2008"	565469	304093966	186.0	176.4
	"Non-Injury: Malignant neoplasms (Cancers)"	"GR113 020-043"	"2009"	"2009"	567628	306771529	185.0	173.5
	"Non-Injury: Malignant neoplasms (Cancers)"	"GR113 020-043"	"2010"	"2010"	574743	308745538	186.2	172.8
	"Non-Injury: Malignant neoplasms (Cancers)"	"GR113 020-043"	"2011"	"2011"	576691	311591917	185.1	169.0
	"Non-Injury: Malignant neoplasms (Cancers)"	"GR113 020-043"	"2012"	"2012"	582623	313914040	185.6	166.5
	"Non-Injury: Malignant neoplasms (Cancers)"	"GR113 020-043"	"2013"	"2013"	584881	316128839	185.0	163.2
	"Non-Injury: Malignant neoplasms (Cancers)"	"GR113 020-043"	"2014"	"2014"	591700	318857056	185.6	161.2
	"Non-Injury: Malignant neoplasms (Cancers)"	"GR113 020-043"	"2015"	"2015"	595930	321418820	185.4	158.5
	"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior"	"GR113-044"	"1999"	"1999"	13227	279040168	4.7	4.8
	"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior"	"GR113-044"	"2000"	"2000"	13546	281421906	4.8	4.9
	"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior"	"GR113-044"	"2001"	"2001"	13676	284968955	4.8	4.9
	"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior"	"GR113-044"	"2002"	"2002"	13299	287625193	4.6	4.7
	"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior"	"GR113-044"	"2003"	"2003"	13563	290107933	4.7	4.7
	"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior"	"GR113-044"	"2004"	"2004"	13580	292805298	4.6	4.6
	"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior"	"GR113-044"	"2005"	"2005"	13710	295516599	4.6	4.6
	"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior"	"GR113-044"	"2006"	"2006"	14122	298379912	4.7	4.6
	"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior"	"GR113-044"	"2007"	"2007"	14204	301231207	4.7	4.6
	"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior"	"GR113-044"	"2008"	"2008"	14470	304093966	4.8	4.6
	"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior"	"GR113-044"	"2009"	"2009"	14605	306771529	4.8	4.5
	"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior"	"GR113-044"	"2010"	"2010"	14917	308745538	4.8	4.6
	"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior"	"GR113-044"	"2011"	"2011"	14997	311591917	4.8	4.5
	"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior"	"GR113-044"	"2012"	"2012"	15056	313914040	4.8	4.4
	"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior"	"GR113-044"	"2013"	"2013"	15232	316128839	4.8	4.3
	"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior"	"GR113-044"	"2014"	"2014"	16039	318857056	5.0	4.4
	"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior"	"GR113-044"	"2015"	"2015"	16277	321418820	5.1	4.4
	"Non-Injury: Meningitis"	"GR113-050"	"1999"	"1999"	850	279040168	0.3	0.3
	"Non-Injury: Meningitis"	"GR113-050"	"2000"	"2000"	758	281421906	0.3	0.3
	"Non-Injury: Meningitis"	"GR113-050"	"2001"	"2001"	727	284968955	0.3	0.3
	"Non-Injury: Meningitis"	"GR113-050"	"2002"	"2002"	700	287625193	0.2	0.2
	"Non-Injury: Meningitis"	"GR113-050"	"2003"	"2003"	730	290107933	0.3	0.2
	"Non-Injury: Meningitis"	"GR113-050"	"2004"	"2004"	674	292805298	0.2	0.2
	"Non-Injury: Meningitis"	"GR113-050"	"2005"	"2005"	669	295516599	0.2	0.2
	"Non-Injury: Meningitis"	"GR113-050"	"2006"	"2006"	634	298379912	0.2	0.2
	"Non-Injury: Meningitis"	"GR113-050"	"2007"	"2007"	655	301231207	0.2	0.2
	"Non-Injury: Meningitis"	"GR113-050"	"2008"	"2008"	633	304093966	0.2	0.2
	"Non-Injury: Meningitis"	"GR113-050"	"2009"	"2009"	649	306771529	0.2	0.2
	"Non-Injury: Meningitis"	"GR113-050"	"2010"	"2010"	608	308745538	0.2	0.2
	"Non-Injury: Meningitis"	"GR113-050"	"2011"	"2011"	611	311591917	0.2	0.2
	"Non-Injury: Meningitis"	"GR113-050"	"2012"	"2012"	551	313914040	0.2	0.2
	"Non-Injury: Meningitis"	"GR113-050"	"2013"	"2013"	584	316128839	0.2	0.2
	"Non-Injury: Meningitis"	"GR113-050"	"2014"	"2014"	538	318857056	0.2	0.2
	"Non-Injury: Meningitis"	"GR113-050"	"2015"	"2015"	555	321418820	0.2	0.2
	"Non-Injury: Parkinsons disease"	"GR113-051"	"1999"	"1999"	14593	279040168	5.2	5.4
	"Non-Injury: Parkinsons disease"	"GR113-051"	"2000"	"2000"	15682	281421906	5.6	5.7
	"Non-Injury: Parkinsons disease"	"GR113-051"	"2001"	"2001"	16544	284968955	5.8	5.9
	"Non-Injury: Parkinsons disease"	"GR113-051"	"2002"	"2002"	16959	287625193	5.9	6.0
	"Non-Injury: Parkinsons disease"	"GR113-051"	"2003"	"2003"	17997	290107933	6.2	6.3
	"Non-Injury: Parkinsons disease"	"GR113-051"	"2004"	"2004"	17989	292805298	6.1	6.2
	"Non-Injury: Parkinsons disease"	"GR113-051"	"2005"	"2005"	19544	295516599	6.6	6.6
	"Non-Injury: Parkinsons disease"	"GR113-051"	"2006"	"2006"	19566	298379912	6.6	6.5
	"Non-Injury: Parkinsons disease"	"GR113-051"	"2007"	"2007"	20058	301231207	6.7	6.5
	"Non-Injury: Parkinsons disease"	"GR113-051"	"2008"	"2008"	20483	304093966	6.7	6.6
	"Non-Injury: Parkinsons disease"	"GR113-051"	"2009"	"2009"	20565	306771529	6.7	6.5
	"Non-Injury: Parkinsons disease"	"GR113-051"	"2010"	"2010"	22032	308745538	7.1	6.9
	"Non-Injury: Parkinsons disease"	"GR113-051"	"2011"	"2011"	23111	311591917	7.4	7.0
	"Non-Injury: Parkinsons disease"	"GR113-051"	"2012"	"2012"	23818	313914040	7.6	7.0
	"Non-Injury: Parkinsons disease"	"GR113-051"	"2013"	"2013"	25196	316128839	8.0	7.3
	"Non-Injury: Parkinsons disease"	"GR113-051"	"2014"	"2014"	26150	318857056	8.2	7.4
	"Non-Injury: Parkinsons disease"	"GR113-051"	"2015"	"2015"	27972	321418820	8.7	7.7
	"Non-Injury: Alzheimers disease"	"GR113-052"	"1999"	"1999"	44536	279040168	16.0	16.5
	"Non-Injury: Alzheimers disease"	"GR113-052"	"2000"	"2000"	49558	281421906	17.6	18.0
	"Non-Injury: Alzheimers disease"	"GR113-052"	"2001"	"2001"	53852	284968955	18.9	19.3
	"Non-Injury: Alzheimers disease"	"GR113-052"	"2002"	"2002"	58866	287625193	20.5	20.8
	"Non-Injury: Alzheimers disease"	"GR113-052"	"2003"	"2003"	63457	290107933	21.9	22.1
	"Non-Injury: Alzheimers disease"	"GR113-052"	"2004"	"2004"	65965	292805298	22.5	22.6
	"Non-Injury: Alzheimers disease"	"GR113-052"	"2005"	"2005"	71599	295516599	24.2	24.0
	"Non-Injury: Alzheimers disease"	"GR113-052"	"2006"	"2006"	72432	298379912	24.3	23.7
	"Non-Injury: Alzheimers disease"	"GR113-052"	"2007"	"2007"	74632	301231207	24.8	23.8
	"Non-Injury: Alzheimers disease"	"GR113-052"	"2008"	"2008"	82435	304093966	27.1	25.8
	"Non-Injury: Alzheimers disease"	"GR113-052"	"2009"	"2009"	79003	306771529	25.8	24.2
	"Non-Injury: Alzheimers disease"	"GR113-052"	"2010"	"2010"	83494	308745538	27.0	25.1
	"Non-Injury: Alzheimers disease"	"GR113-052"	"2011"	"2011"	84974	311591917	27.3	24.7
	"Non-Injury: Alzheimers disease"	"GR113-052"	"2012"	"2012"	83637	313914040	26.6	23.8
	"Non-Injury: Alzheimers disease"	"GR113-052"	"2013"	"2013"	84767	316128839	26.8	23.5
	"Non-Injury: Alzheimers disease"	"GR113-052"	"2014"	"2014"	93541	318857056	29.3	25.4
	"Non-Injury: Alzheimers disease"	"GR113-052"	"2015"	"2015"	110561	321418820	34.4	29.4
	"Non-Injury: Diseases of Heart"	"GR113 055-068"	"1999"	"1999"	725192	279040168	259.9	266.4
	"Non-Injury: Diseases of Heart"	"GR113 055-068"	"2000"	"2000"	710760	281421906	252.6	257.6
	"Non-Injury: Diseases of Heart"	"GR113 055-068"	"2001"	"2001"	700142	284968955	245.7	249.5
	"Non-Injury: Diseases of Heart"	"GR113 055-068"	"2002"	"2002"	696947	287625193	242.3	244.7
	"Non-Injury: Diseases of Heart"	"GR113 055-068"	"2003"	"2003"	685089	290107933	236.1	236.3
	"Non-Injury: Diseases of Heart"	"GR113 055-068"	"2004"	"2004"	652486	292805298	222.8	221.6
	"Non-Injury: Diseases of Heart"	"GR113 055-068"	"2005"	"2005"	652091	295516599	220.7	216.8
	"Non-Injury: Diseases of Heart"	"GR113 055-068"	"2006"	"2006"	631636	298379912	211.7	205.5
	"Non-Injury: Diseases of Heart"	"GR113 055-068"	"2007"	"2007"	616067	301231207	204.5	196.1
	"Non-Injury: Diseases of Heart"	"GR113 055-068"	"2008"	"2008"	616828	304093966	202.8	192.1
	"Non-Injury: Diseases of Heart"	"GR113 055-068"	"2009"	"2009"	599413	306771529	195.4	182.8
	"Non-Injury: Diseases of Heart"	"GR113 055-068"	"2010"	"2010"	597689	308745538	193.6	179.1
	"Non-Injury: Diseases of Heart"	"GR113 055-068"	"2011"	"2011"	596577	311591917	191.5	173.7
	"Non-Injury: Diseases of Heart"	"GR113 055-068"	"2012"	"2012"	599711	313914040	191.0	170.5
	"Non-Injury: Diseases of Heart"	"GR113 055-068"	"2013"	"2013"	611105	316128839	193.3	169.8
	"Non-Injury: Diseases of Heart"	"GR113 055-068"	"2014"	"2014"	614348	318857056	192.7	167.0
	"Non-Injury: Diseases of Heart"	"GR113 055-068"	"2015"	"2015"	633842	321418820	197.2	168.5
	"Non-Injury: Essential (primary) hypertension and hypertensive renal disease"	"GR113-069"	"1999"	"1999"	16968	279040168	6.1	6.2
	"Non-Injury: Essential (primary) hypertension and hypertensive renal disease"	"GR113-069"	"2000"	"2000"	18073	281421906	6.4	6.6
	"Non-Injury: Essential (primary) hypertension and hypertensive renal disease"	"GR113-069"	"2001"	"2001"	19250	284968955	6.8	6.9
	"Non-Injury: Essential (primary) hypertension and hypertensive renal disease"	"GR113-069"	"2002"	"2002"	20261	287625193	7.0	7.1
	"Non-Injury: Essential (primary) hypertension and hypertensive renal disease"	"GR113-069"	"2003"	"2003"	21940	290107933	7.6	7.6
	"Non-Injury: Essential (primary) hypertension and hypertensive renal disease"	"GR113-069"	"2004"	"2004"	23076	292805298	7.9	7.8
	"Non-Injury: Essential (primary) hypertension and hypertensive renal disease"	"GR113-069"	"2005"	"2005"	24902	295516599	8.4	8.3
	"Non-Injury: Essential (primary) hypertension and hypertensive renal disease"	"GR113-069"	"2006"	"2006"	23855	298379912	8.0	7.8
	"Non-Injury: Essential (primary) hypertension and hypertensive renal disease"	"GR113-069"	"2007"	"2007"	23965	301231207	8.0	7.6
	"Non-Injury: Essential (primary) hypertension and hypertensive renal disease"	"GR113-069"	"2008"	"2008"	25742	304093966	8.5	8.0
	"Non-Injury: Essential (primary) hypertension and hypertensive renal disease"	"GR113-069"	"2009"	"2009"	25734	306771529	8.4	7.8
	"Non-Injury: Essential (primary) hypertension and hypertensive renal disease"	"GR113-069"	"2010"	"2010"	26634	308745538	8.6	8.0
	"Non-Injury: Essential (primary) hypertension and hypertensive renal disease"	"GR113-069"	"2011"	"2011"	27853	311591917	8.9	8.1
	"Non-Injury: Essential (primary) hypertension and hypertensive renal disease"	"GR113-069"	"2012"	"2012"	29115	313914040	9.3	8.2
	"Non-Injury: Essential (primary) hypertension and hypertensive renal disease"	"GR113-069"	"2013"	"2013"	30770	316128839	9.7	8.5
	"Non-Injury: Essential (primary) hypertension and hypertensive renal disease"	"GR113-069"	"2014"	"2014"	30221	318857056	9.5	8.2
	"Non-Injury: Essential (primary) hypertension and hypertensive renal disease"	"GR113-069"	"2015"	"2015"	32200	321418820	10.0	8.5
	"Non-Injury: Cerebrovascular diseases, including stroke"	"GR113-070"	"1999"	"1999"	167366	279040168	60.0	61.6
	"Non-Injury: Cerebrovascular diseases, including stroke"	"GR113-070"	"2000"	"2000"	167661	281421906	59.6	60.9
	"Non-Injury: Cerebrovascular diseases, including stroke"	"GR113-070"	"2001"	"2001"	163538	284968955	57.4	58.4
	"Non-Injury: Cerebrovascular diseases, including stroke"	"GR113-070"	"2002"	"2002"	162672	287625193	56.6	57.3
	"Non-Injury: Cerebrovascular diseases, including stroke"	"GR113-070"	"2003"	"2003"	157689	290107933	54.4	54.6
	"Non-Injury: Cerebrovascular diseases, including stroke"	"GR113-070"	"2004"	"2004"	150074	292805298	51.3	51.2
	"Non-Injury: Cerebrovascular diseases, including stroke"	"GR113-070"	"2005"	"2005"	143579	295516599	48.6	48.0
	"Non-Injury: Cerebrovascular diseases, including stroke"	"GR113-070"	"2006"	"2006"	137119	298379912	46.0	44.8
	"Non-Injury: Cerebrovascular diseases, including stroke"	"GR113-070"	"2007"	"2007"	135952	301231207	45.1	43.5
	"Non-Injury: Cerebrovascular diseases, including stroke"	"GR113-070"	"2008"	"2008"	134148	304093966	44.1	42.1
	"Non-Injury: Cerebrovascular diseases, including stroke"	"GR113-070"	"2009"	"2009"	128842	306771529	42.0	39.6
	"Non-Injury: Cerebrovascular diseases, including stroke"	"GR113-070"	"2010"	"2010"	129476	308745538	41.9	39.1
	"Non-Injury: Cerebrovascular diseases, including stroke"	"GR113-070"	"2011"	"2011"	128932	311591917	41.4	37.9
	"Non-Injury: Cerebrovascular diseases, including stroke"	"GR113-070"	"2012"	"2012"	128546	313914040	40.9	36.9
	"Non-Injury: Cerebrovascular diseases, including stroke"	"GR113-070"	"2013"	"2013"	128978	316128839	40.8	36.2
	"Non-Injury: Cerebrovascular diseases, including stroke"	"GR113-070"	"2014"	"2014"	133103	318857056	41.7	36.5
	"Non-Injury: Cerebrovascular diseases, including stroke"	"GR113-070"	"2015"	"2015"	140323	321418820	43.7	37.6
	"Non-Injury: Atherosclerosis"	"GR113-071"	"1999"	"1999"	14979	279040168	5.4	5.5
	"Non-Injury: Atherosclerosis"	"GR113-071"	"2000"	"2000"	14393	281421906	5.1	5.2
	"Non-Injury: Atherosclerosis"	"GR113-071"	"2001"	"2001"	14086	284968955	4.9	5.0
	"Non-Injury: Atherosclerosis"	"GR113-071"	"2002"	"2002"	13821	287625193	4.8	4.9
	"Non-Injury: Atherosclerosis"	"GR113-071"	"2003"	"2003"	13053	290107933	4.5	4.5
	"Non-Injury: Atherosclerosis"	"GR113-071"	"2004"	"2004"	11861	292805298	4.1	4.1
	"Non-Injury: Atherosclerosis"	"GR113-071"	"2005"	"2005"	11841	295516599	4.0	4.0
	"Non-Injury: Atherosclerosis"	"GR113-071"	"2006"	"2006"	8652	298379912	2.9	2.8
	"Non-Injury: Atherosclerosis"	"GR113-071"	"2007"	"2007"	8232	301231207	2.7	2.6
	"Non-Injury: Atherosclerosis"	"GR113-071"	"2008"	"2008"	7836	304093966	2.6	2.4
	"Non-Injury: Atherosclerosis"	"GR113-071"	"2009"	"2009"	7377	306771529	2.4	2.2
	"Non-Injury: Atherosclerosis"	"GR113-071"	"2010"	"2010"	7230	308745538	2.3	2.2
	"Non-Injury: Atherosclerosis"	"GR113-071"	"2011"	"2011"	6945	311591917	2.2	2.0
	"Non-Injury: Atherosclerosis"	"GR113-071"	"2012"	"2012"	6946	313914040	2.2	2.0
	"Non-Injury: Atherosclerosis"	"GR113-071"	"2013"	"2013"	6685	316128839	2.1	1.8
	"Non-Injury: Atherosclerosis"	"GR113-071"	"2014"	"2014"	6356	318857056	2.0	1.7
	"Non-Injury: Atherosclerosis"	"GR113-071"	"2015"	"2015"	6088	321418820	1.9	1.6
	"Non-Injury: Other diseases of the circulatory system"	"GR113 073-074"	"1999"	"1999"	25809	279040168	9.2	9.5
	"Non-Injury: Other diseases of the circulatory system"	"GR113 073-074"	"2000"	"2000"	26036	281421906	9.3	9.4
	"Non-Injury: Other diseases of the circulatory system"	"GR113 073-074"	"2001"	"2001"	25318	284968955	8.9	9.0
	"Non-Injury: Other diseases of the circulatory system"	"GR113 073-074"	"2002"	"2002"	24927	287625193	8.7	8.8
	"Non-Injury: Other diseases of the circulatory system"	"GR113 073-074"	"2003"	"2003"	24672	290107933	8.5	8.5
	"Non-Injury: Other diseases of the circulatory system"	"GR113 073-074"	"2004"	"2004"	23693	292805298	8.1	8.1
	"Non-Injury: Other diseases of the circulatory system"	"GR113 073-074"	"2005"	"2005"	23617	295516599	8.0	7.9
	"Non-Injury: Other diseases of the circulatory system"	"GR113 073-074"	"2006"	"2006"	22484	298379912	7.5	7.4
	"Non-Injury: Other diseases of the circulatory system"	"GR113 073-074"	"2007"	"2007"	21940	301231207	7.3	7.0
	"Non-Injury: Other diseases of the circulatory system"	"GR113 073-074"	"2008"	"2008"	19929	304093966	6.6	6.3
	"Non-Injury: Other diseases of the circulatory system"	"GR113 073-074"	"2009"	"2009"	19258	306771529	6.3	6.0
	"Non-Injury: Other diseases of the circulatory system"	"GR113 073-074"	"2010"	"2010"	19184	308745538	6.2	5.8
	"Non-Injury: Other diseases of the circulatory system"	"GR113 073-074"	"2011"	"2011"	18802	311591917	6.0	5.5
	"Non-Injury: Other diseases of the circulatory system"	"GR113 073-074"	"2012"	"2012"	18667	313914040	5.9	5.4
	"Non-Injury: Other diseases of the circulatory system"	"GR113 073-074"	"2013"	"2013"	18956	316128839	6.0	5.3
	"Non-Injury: Other diseases of the circulatory system"	"GR113 073-074"	"2014"	"2014"	19199	318857056	6.0	5.3
	"Non-Injury: Other diseases of the circulatory system"	"GR113 073-074"	"2015"	"2015"	19571	321418820	6.1	5.3
	"Non-Injury: Other disorders of circulatory system"	"GR113-075"	"1999"	"1999"	4025	279040168	1.4	1.5
	"Non-Injury: Other disorders of circulatory system"	"GR113-075"	"2000"	"2000"	4603	281421906	1.6	1.7
	"Non-Injury: Other disorders of circulatory system"	"GR113-075"	"2001"	"2001"	4665	284968955	1.6	1.7
	"Non-Injury: Other disorders of circulatory system"	"GR113-075"	"2002"	"2002"	4711	287625193	1.6	1.6
	"Non-Injury: Other disorders of circulatory system"	"GR113-075"	"2003"	"2003"	4737	290107933	1.6	1.6
	"Non-Injury: Other disorders of circulatory system"	"GR113-075"	"2004"	"2004"	4673	292805298	1.6	1.6
	"Non-Injury: Other disorders of circulatory system"	"GR113-075"	"2005"	"2005"	4813	295516599	1.6	1.6
	"Non-Injury: Other disorders of circulatory system"	"GR113-075"	"2006"	"2006"	3995	298379912	1.3	1.3
	"Non-Injury: Other disorders of circulatory system"	"GR113-075"	"2007"	"2007"	4101	301231207	1.4	1.3
	"Non-Injury: Other disorders of circulatory system"	"GR113-075"	"2008"	"2008"	4042	304093966	1.3	1.3
	"Non-Injury: Other disorders of circulatory system"	"GR113-075"	"2009"	"2009"	4118	306771529	1.3	1.3
	"Non-Injury: Other disorders of circulatory system"	"GR113-075"	"2010"	"2010"	4241	308745538	1.4	1.3
	"Non-Injury: Other disorders of circulatory system"	"GR113-075"	"2011"	"2011"	4366	311591917	1.4	1.3
	"Non-Injury: Other disorders of circulatory system"	"GR113-075"	"2012"	"2012"	4446	313914040	1.4	1.3
	"Non-Injury: Other disorders of circulatory system"	"GR113-075"	"2013"	"2013"	4443	316128839	1.4	1.3
	"Non-Injury: Other disorders of circulatory system"	"GR113-075"	"2014"	"2014"	4548	318857056	1.4	1.3
	"Non-Injury: Other disorders of circulatory system"	"GR113-075"	"2015"	"2015"	4522	321418820	1.4	1.2
	"Non-Injury: Influenza & Pneumonia"	"GR113 077-078"	"1999"	"1999"	63730	279040168	22.8	23.5
	"Non-Injury: Influenza & Pneumonia"	"GR113 077-078"	"2000"	"2000"	65313	281421906	23.2	23.7
	"Non-Injury: Influenza & Pneumonia"	"GR113 077-078"	"2001"	"2001"	62034	284968955	21.8	22.2
	"Non-Injury: Influenza & Pneumonia"	"GR113 077-078"	"2002"	"2002"	65681	287625193	22.8	23.2
	"Non-Injury: Influenza & Pneumonia"	"GR113 077-078"	"2003"	"2003"	65163	290107933	22.5	22.6
	"Non-Injury: Influenza & Pneumonia"	"GR113 077-078"	"2004"	"2004"	59664	292805298	20.4	20.4
	"Non-Injury: Influenza & Pneumonia"	"GR113 077-078"	"2005"	"2005"	63001	295516599	21.3	21.0
	"Non-Injury: Influenza & Pneumonia"	"GR113 077-078"	"2006"	"2006"	56326	298379912	18.9	18.4
	"Non-Injury: Influenza & Pneumonia"	"GR113 077-078"	"2007"	"2007"	52717	301231207	17.5	16.8
	"Non-Injury: Influenza & Pneumonia"	"GR113 077-078"	"2008"	"2008"	56284	304093966	18.5	17.6
	"Non-Injury: Influenza & Pneumonia"	"GR113 077-078"	"2009"	"2009"	53692	306771529	17.5	16.5
	"Non-Injury: Influenza & Pneumonia"	"GR113 077-078"	"2010"	"2010"	50097	308745538	16.2	15.1
	"Non-Injury: Influenza & Pneumonia"	"GR113 077-078"	"2011"	"2011"	53826	311591917	17.3	15.7
	"Non-Injury: Influenza & Pneumonia"	"GR113 077-078"	"2012"	"2012"	50636	313914040	16.1	14.5
	"Non-Injury: Influenza & Pneumonia"	"GR113 077-078"	"2013"	"2013"	56979	316128839	18.0	15.9
	"Non-Injury: Influenza & Pneumonia"	"GR113 077-078"	"2014"	"2014"	55227	318857056	17.3	15.1
	"Non-Injury: Influenza & Pneumonia"	"GR113 077-078"	"2015"	"2015"	57062	321418820	17.8	15.2
	"Non-Injury: Other acute lower respiratory infections"	"GR113 079"	"1999"	"1999"	540	279040168	0.2	0.2
